Report, Date,Community Area
Vacant/Abandoned Building,4/11/2011,27
Vacant/Abandoned Building,4/11/2011,47
Vacant/Abandoned Building,4/11/2011,67
Vacant/Abandoned Building,4/11/2011,25
Vacant/Abandoned Building,4/11/2011,42
Vacant/Abandoned Building,4/11/2011,73
Vacant/Abandoned Building,4/11/2011,73
Vacant/Abandoned Building,4/11/2011,73
Vacant/Abandoned Building,4/12/2011,67
Vacant/Abandoned Building,4/12/2011,5
Vacant/Abandoned Building,4/12/2011,23
Vacant/Abandoned Building,4/12/2011,45
Vacant/Abandoned Building,4/12/2011,48
Vacant/Abandoned Building,4/12/2011,48
Vacant/Abandoned Building,4/12/2011,50
Vacant/Abandoned Building,4/12/2011,48
Vacant/Abandoned Building,4/12/2011,55
Vacant/Abandoned Building,4/12/2011,26
Vacant/Abandoned Building,4/12/2011,68
Vacant/Abandoned Building,4/12/2011,56
Vacant/Abandoned Building,4/12/2011,14
Vacant/Abandoned Building,4/12/2011,25
Vacant/Abandoned Building,4/12/2011,16
Vacant/Abandoned Building,4/12/2011,67
Vacant/Abandoned Building,4/13/2011,29
Vacant/Abandoned Building,4/13/2011,69
Vacant/Abandoned Building,4/13/2011,25
Vacant/Abandoned Building,4/14/2011,25
Vacant/Abandoned Building,4/14/2011,25
Vacant/Abandoned Building,4/14/2011,44
Vacant/Abandoned Building,4/14/2011,31
Vacant/Abandoned Building,4/14/2011,5
Vacant/Abandoned Building,4/14/2011,68
Vacant/Abandoned Building,4/14/2011,25
Vacant/Abandoned Building,4/14/2011,25
Vacant/Abandoned Building,4/14/2011,25
Vacant/Abandoned Building,4/15/2011,68
Vacant/Abandoned Building,4/15/2011,29
Vacant/Abandoned Building,4/15/2011,61
Vacant/Abandoned Building,4/15/2011,25
Vacant/Abandoned Building,4/15/2011,28
Vacant/Abandoned Building,4/15/2011,26
Vacant/Abandoned Building,4/15/2011,17
Vacant/Abandoned Building,4/17/2011,43
Vacant/Abandoned Building,4/17/2011,68
Vacant/Abandoned Building,4/17/2011,53
Vacant/Abandoned Building,4/18/2011,61
Vacant/Abandoned Building,4/18/2011,73
Vacant/Abandoned Building,4/18/2011,25
Vacant/Abandoned Building,4/18/2011,67
Vacant/Abandoned Building,4/18/2011,26
Vacant/Abandoned Building,4/18/2011,50
Vacant/Abandoned Building,4/19/2011,67
Vacant/Abandoned Building,4/19/2011,70
Vacant/Abandoned Building,4/19/2011,49
Vacant/Abandoned Building,4/19/2011,49
Vacant/Abandoned Building,4/19/2011,26
Vacant/Abandoned Building,4/20/2011,43
Vacant/Abandoned Building,4/20/2011,67
Vacant/Abandoned Building,4/20/2011,71
Vacant/Abandoned Building,4/21/2011,25
Vacant/Abandoned Building,4/21/2011,49
Vacant/Abandoned Building,4/21/2011,61
Vacant/Abandoned Building,4/22/2011,66
Vacant/Abandoned Building,4/22/2011,1
Vacant/Abandoned Building,4/22/2011,28
Vacant/Abandoned Building,4/22/2011,27
Vacant/Abandoned Building,4/22/2011,27
Vacant/Abandoned Building,4/22/2011,25
Vacant/Abandoned Building,4/22/2011,49
Vacant/Abandoned Building,4/23/2011,27
Vacant/Abandoned Building,4/23/2011,68
Vacant/Abandoned Building,4/23/2011,14
Vacant/Abandoned Building,4/23/2011,73
Vacant/Abandoned Building,4/23/2011,43
Vacant/Abandoned Building,4/24/2011,22
Vacant/Abandoned Building,4/25/2011,23
Vacant/Abandoned Building,4/25/2011,67
Vacant/Abandoned Building,4/25/2011,26
Vacant/Abandoned Building,4/25/2011,77
Vacant/Abandoned Building,4/25/2011,43
Vacant/Abandoned Building,4/25/2011,46
Vacant/Abandoned Building,4/26/2011,44
Vacant/Abandoned Building,4/26/2011,23
Vacant/Abandoned Building,4/26/2011,7
Vacant/Abandoned Building,4/26/2011,68
Vacant/Abandoned Building,4/27/2011,25
Vacant/Abandoned Building,4/27/2011,29
Vacant/Abandoned Building,4/27/2011,69
Vacant/Abandoned Building,4/27/2011,23
Vacant/Abandoned Building,4/27/2011,22
Vacant/Abandoned Building,4/27/2011,4
Vacant/Abandoned Building,4/27/2011,66
Vacant/Abandoned Building,4/28/2011,29
Vacant/Abandoned Building,4/28/2011,6
Vacant/Abandoned Building,4/28/2011,71
Vacant/Abandoned Building,4/28/2011,68
Vacant/Abandoned Building,4/28/2011,44
Vacant/Abandoned Building,4/28/2011,67
Vacant/Abandoned Building,4/28/2011,67
