Report,Date,Community Area
Vacant/Abandoned Building,05/23/2011,49
Vacant/Abandoned Building,05/23/2011,53
Vacant/Abandoned Building,05/24/2011,3
Vacant/Abandoned Building,05/24/2011,18
Vacant/Abandoned Building,05/24/2011,25
Vacant/Abandoned Building,05/24/2011,25
Vacant/Abandoned Building,05/24/2011,49
Vacant/Abandoned Building,05/24/2011,52
Vacant/Abandoned Building,05/24/2011,52
Vacant/Abandoned Building,05/24/2011,52
Vacant/Abandoned Building,05/24/2011,67
Vacant/Abandoned Building,05/24/2011,71
Vacant/Abandoned Building,05/25/2011,23
Vacant/Abandoned Building,05/25/2011,27
Vacant/Abandoned Building,05/25/2011,27
Vacant/Abandoned Building,05/25/2011,45
Vacant/Abandoned Building,05/25/2011,49
Vacant/Abandoned Building,05/25/2011,49
Vacant/Abandoned Building,05/25/2011,49
Vacant/Abandoned Building,05/25/2011,53
Vacant/Abandoned Building,05/25/2011,69
Vacant/Abandoned Building,05/25/2011,70
Vacant/Abandoned Building,05/26/2011,24
Vacant/Abandoned Building,05/26/2011,49
Vacant/Abandoned Building,05/26/2011,49
Vacant/Abandoned Building,05/26/2011,53
Vacant/Abandoned Building,05/27/2011,25
Vacant/Abandoned Building,05/27/2011,29
Vacant/Abandoned Building,05/27/2011,29
Vacant/Abandoned Building,05/28/2011,14
Vacant/Abandoned Building,05/28/2011,26
Vacant/Abandoned Building,05/30/2011,25
Vacant/Abandoned Building,05/30/2011,69
Vacant/Abandoned Building,05/31/2011,27
Vacant/Abandoned Building,05/31/2011,42
Vacant/Abandoned Building,05/31/2011,43
Vacant/Abandoned Building,05/31/2011,46
Vacant/Abandoned Building,05/31/2011,46
Vacant/Abandoned Building,05/31/2011,71
